AimagName_mng,SoumName_mng,BagName_mng,BagN,PlotName_mng,AimagName,SoumName,Bagname,PlotName,Longitude,Latitude,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
??????????,???????,,1,????????? ???,Govisumber,Bayantal,,Teregtiin tal,108.3893333,46.71266667,,0.4,0.85,1.3,,8,0.6,3,,,,,,
??????????,??????,,2,??? ????,Govisumber,Sumber,,Urd uhaa,108.3757667,46.3483,,,0.2,,,12.5,5.5,1.4,2.3,0.9,1.4,0.2,3.4,5
??????????,??????,,1,??????,Govisumber,Sumber,,Gashuun,108.4623611,46.53305556,,,0.5,,,10.8,5.8,2.9,0.8,0.9,0.9,1.7,3.1,2.7
??????????,??????,,3,?? ?????????,Govisumber,Sumber,,Ar jargalant,108.7328333,46.39227778,,,,,,,0.5,7.5,0.6,1.3,1.3,4.3,7.45,3.3
??????????,??????,,4,??? ???,Govisumber,Sumber,,Shar had,108.9028611,46.55716667,,,,,,,0.2,11.6,,,,,,
??????????,??????,,5,?????? ??????,Govisumber,Sumber,,Tsagaan tolgoi,108.9221944,46.83183333,,0.01,0.2,1.9,,2.5,3.6,1.9,3.2,1.6,1.4,1.8,6,8
??????????,?????????,,1,????? ?????,Govisumber,Shiveegobi,,Togoo bulag,108.3620167,46.04113333,,,,,,,,,4.4,2.3,1.2,2.7,0.7,2.5
??????????,?????????,,2,???????,Govisumber,Shiveegobi,,Tsoorhoi,108.67935,46.03938889,,,,,,,0.6,3.9,,,,,,
??????-???,??????,???????,15,??????????? ??????/???????????,Darhan-Uul,Darhan,Mangirt,Hashaalaagui talbai/Tumurtolgoi,105.9458,49.4084,4.2,4.3,2,4.3,5.1,8.1,2.6,4.3,0.4,9.1,1.5,16.6,6.8,6.5
??????-???,?????,????-??????,1,?????? ???,Darhan-Uul,Orhon,Bayan-Ulziit,Delger uul,106.1566,49.801,,10.2,13.1,10.2,5.8,4.8,8.9,10,1.4,7,5.2,11.4,4.8,6.4
??????-???,?????,??????,2,?????? ????,Darhan-Uul,Orhon,Enhtal,Dardai nuur,105.9609,49.6357,4.6,,,,,,1.9,3.2,1.2,16.8,4,3,14.1,17
??????-???,??????,??????,3,??????,Darhan-Uul,Hongor,Salhit,Salhit,105.8821389,49.22447222,,,,,,,6.2,18.2,2.6,6.1,1.8,5.9,6,5.8
??????-???,??????,??????,1,????-?????,Darhan-Uul,Hongor,Buural,Tsogt-Undur,106.2223,49.5076,,10.2,10.06666667,10.2,8.3,11.53333333,6.6,3.2,7.9,10,8.3,5.6,13,12.2
??????-???,??????,???????,2,??? ????????? ??,Darhan-Uul,Hongor,Zulzaga,Har belchiriin am,106.323,49.385,7.9,1.9,9.8,1.9,5.3,5.5,1.7,2.2,2.3,21.5,1.1,4.6,3,3.5
??????-???,????? ???,??????,2,???? ?????,Darhan-Uul,Shariin gol,2r bag,Olon hutul,106.4474,49.294,,4.2,5.4,4.2,3.1,9,8.1,7.5,1.6,4.3,0.3,6.1,4,3.6
??????-???,????? ???,???????,3,?????,Darhan-Uul,Shariin gol,Sanjint,Buyant,106.45325,49.19833333,,13.9,4.1,13.9,5.7,8.4,1.4,5.7,5.6,9.3,2,16.5,6.1,7.4
